file,duckdbauto_strict_metric_ground_truth,duckdbauto_strict_strict_ground_truth,duckdbauto_strict_matched_ground_truth,duckdbauto_strict_correct,duckdbauto_strict_wrong,duckdbauto_strict_evaluation_error,duckdbauto_strict_success,duckdbauto_strict_header_precision,duckdbauto_strict_header_recall,duckdbauto_strict_header_f1,duckdbauto_strict_record_precision,duckdbauto_strict_record_recall,duckdbauto_strict_record_f1,duckdbauto_strict_cell_precision,duckdbauto_strict_cell_recall,duckdbauto_strict_cell_f1
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.996031746031746,0.996031746031746,0.996031746031746
combo__move_header_row5__preamble_2_raw_empty_row.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,0.9764705882352941,0.988095238095238,1.0,0.9767441860465116,0.988235294117647
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,0.9540229885057471,0.976470588235294,1.0,0.9545454545454546,0.9767441860465117
combo__multiline_header_rows_3__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,0.9431818181818182,0.9707602339181286,1.0,0.9438202247191011,0.9710982658959537
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.9879518072289156,0.9318181818181818,0.9590643274853801,0.9947089947089947,0.9388264669163545,0.9659601798330122
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9920634920634921,0.9920634920634921,0.9920634920634921
file_commented_row_41.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_49.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_56.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_escaping_backslash_row_3_col_7.csv,canonical,,,0,1,,1,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.0,0.0,0.0,0.7354497354497355,0.44126984126984126,0.5515873015873015
file_double_escaping_double_quote_row_2_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_trailing_newline.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
