"vin_1_10","county","city","state","zip_code","model_year","make","model","ev_type","cafv_type","electric_range","legislative_district","dol_vehicle_id","geocoded_column","electric_utility","_2020_census_tract"
"5YJSA1DP4D","Yakima","Zillah","WA","98953","2013","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","208","15","161861780","POINT (-120.26226 46.40199)","PACIFICORP","53077002201"
"5YJ3E1EB0K","Snohomish","Snohomish","WA","98290","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","39","100876282","POINT (-122.09305 47.91265)","PUGET SOUND ENERGY INC","53061052203"
"WBY8P2C57K","King","Seattle","WA","98133","2019","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","153","32","116962898","POINT (-122.33364 47.73709)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033000402"
"KNDPYDDH5T","Kitsap","Bremerton","WA","98310","2026","KIA","SPORTAGE","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","33","23","289934893","POINT (-122.61136 47.5752)","PUGET SOUND ENERGY INC","53035080400"
"7SAYGDEE1T","Snohomish","Bothell","WA","98012","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","1","286993199","POINT (-122.20105 47.84423)","PUGET SOUND ENERGY INC","53061052009"
"5YJXCBE28L","King","Redmond","WA","98052","2020","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","293","45","6078187","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032321"
"WBY7Z2C50J","Snohomish","Lake Stevens","WA","98258","2018","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","114","44","133738426","POINT (-122.06402 48.01497)","PUGET SOUND ENERGY INC","53061052605"
"7PDSGABA2P","Snohomish","Bothell","WA","98012","2023","RIVIAN","R1S","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","1","253590858","POINT (-122.20105 47.84423)","PUGET SOUND ENERGY INC","53061052009"
"5YJSA1E27F","Snohomish","Everett","WA","98208","2015","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","208","44","195032064","POINT (-122.18637 47.89251)","PUGET SOUND ENERGY INC","53061041609"
"3FA6P0SU4G","Snohomish","Lynnwood","WA","98087","2016","FORD","FUSION","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","19","21","211683398","POINT (-122.27981 47.85727)","PUGET SOUND ENERGY INC","53061041816"
"KNDPYDDH7S","Thurston","Yelm","WA","98597","2025","KIA","SPORTAGE","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","34","2","282431747","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012412"
"1G1FY6S0XK","Yakima","Yakima","WA","98902","2019","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","14","143102900","POINT (-120.52041 46.59751)","PACIFICORP","53077000800"
